Origen,,Destino,,Longitud,,Gran Total,
,,,,,,,
E1,,Mezquitan,,86.89921037,,,
Mezquitan,,E6,,72.20881954,,,
E6,,E7,,69.70693559,,,
E7,,VillaG,,22.81925474,,,
VillaG,,Analco,,64.96256465,,,
Analco,,Beatriz,,97.05986899,,,
Beatriz,,E2,,40.13774371,,,
E2,,Santa,,98.6066959,,,
Santa,,Ladron,,97.26021508,,,
Ladron,,E1,,99.52036917,,,
E1,,Sauz,,99.87003964,,,
Sauz,,Mezquitan,,72.11621114,,,
Sauz,,E5,,16.12606607,,,
E5,,E6,,63.04555428,,,
E5,,Fresno,,88.06998401,,,
Fresno,,E6,,14.32615796,,,
Fresno,,E7,,81.03260507,,,
Fresno,,VillaG,,51.97662697,,,
E5,,Analco,,25.29090629,,,
Fresno,,Analco,,14.93949006,,,
Fresno,,E3,,2.74404392,,,
Analco,,E3,,90.58856202,,,
Fresno,,E3,,27.26460952,,,
E5,,SanJuan,,40.0287361,,,
Sauz,,Ladron,,17.36621763,,,
Ladron,,E4,,65.4894498,,,
Sauz,,E4,,13.28815605,,,
Oblatos,,E4,,36.77735942,,,
Sauz,,Oblatos,,78.87594545,,,
E3,,Oblatos,,11.01774426,,,
E3,,Beatriz,,55.6062326,,,
Oblatos,,Beatriz,,99.69295032,,,
SanJuan,,Oblatos,,28.45489408,,,
Oblatos,,E2,,66.76629079,,,
E4,,E2,,55.52171987,,,
E4,,Santa,,83.26042844,,,
Sanjuan,,E4,,56.61414013,,,
Sauz,,SanJuan,,10.80047083,,,
Sauz,,Oblatos,,60.26481064,,,
SanJuan,,E3,,56.344978,,,
Mezquitan,,E5,,30.43531868,,,
E6,,Sauz,,73.17376489,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
